Port,Country,Region
Shanghai,China,East Asia
Singapore,Singapore,Southeast Asia
Ningbo-Zhoushan,China,East Asia
Shenzhen,China,East Asia
Qingdao,China,East Asia
Busan,South Korea,East Asia
Tianjin,China,East Asia
Guangzhou,China,East Asia
Los Angeles / Long Beach,United States,North America
Jebel Ali,United Arab Emirates,West Asia
Hong Kong,"Hong Kong, China",East Asia
Port Klang,Malaysia,Southeast Asia
Rotterdam,Netherlands,Europe
Xiamen,China,East Asia
Antwerp,Belgium,Europe
Tanjung Pelepas,Malaysia,Southeast Asia
Kaohsiung,Taiwan,East Asia
Laem Chabang,Thailand,Southeast Asia
Tanger-Med,Morocco,North Africa
New York / New Jersey,United States,North America
Hamburg,Germany,Europe
Taicang / Suzhou,China,East Asia
Saigon,Vietnam,Southeast Asia
Tanjung Priok,Indonesia,Southeast Asia
Colombo,Sri Lanka,South Asia
Mundra,India,South Asia
Nhava Sheva / Mumbai,India,South Asia
Savannah,United States,North America
Rizhao,China,East Asia
Hai Phong,Vietnam,Southeast Asia
Vũng Tàu,Vietnam,Southeast Asia
Lianyungang,China,East Asia
Manila,Philippines,Southeast Asia
Qinzhou,China,East Asia
Colón,Panama,Central America
Piraeus,Greece,Europe
Valencia,Spain,Europe
Yingkou,China,East Asia
Santos,Brazil,South America
Jeddah,Saudi Arabia,West Asia
Algeciras,Spain,Europe
Bremerhaven,Germany,Europe
Salalah,Oman,West Asia
Dalian,China,East Asia
Tokyo,Japan,East Asia
Abu Dhabi,United Arab Emirates,West Asia
Port Said,Egypt,North Africa
Yantai,China,East Asia
Houston,United States,North America
Tanjung Perak,Indonesia,Southeast Asia
